siteName,theme,industry,colorScheme,localDesign,referoUrl
Duolingo,light,other,light,docs/refero/styles/duolingo-7088d695/DESIGN.md,https://styles.refero.design/style/7088d695-362b-4e09-b325-fa8136d4f350
customer.io,light,saas,light,docs/refero/styles/customer-io-abbaa70a/DESIGN.md,https://styles.refero.design/style/abbaa70a-5fe2-44a9-9c5f-272e68c450c3
Perplexity AI,light,ai,light,docs/refero/styles/perplexity-ai-81afaa5c/DESIGN.md,https://styles.refero.design/style/81afaa5c-73ac-4ef4-9a99-296da325ea6c
Airbnb,light,ecommerce,light,docs/refero/styles/airbnb-c2325884/DESIGN.md,https://styles.refero.design/style/c2325884-4391-4688-85cd-e143f5107517
Virtual,dark,other,dark,docs/refero/styles/virtual-572bc29f/DESIGN.md,https://styles.refero.design/style/572bc29f-8827-4f77-b248-08dddf1c2e26
Workable,light,saas,light,docs/refero/styles/workable-0ab4c544/DESIGN.md,https://styles.refero.design/style/0ab4c544-6147-4998-8365-3a0f6191e54f
Ui,light,ai,light,docs/refero/styles/ui-0fd67ec5/DESIGN.md,https://styles.refero.design/style/0fd67ec5-7e9c-4ca9-b368-5d9c7388477a
Fey,dark,devtools,dark,docs/refero/styles/fey-733e6475/DESIGN.md,https://styles.refero.design/style/733e6475-892a-4138-8835-bf40344df317
Zed,light,devtools,light,docs/refero/styles/zed-a541789c/DESIGN.md,https://styles.refero.design/style/a541789c-36e7-45a4-9d1d-143921a82a8b
AutoSend,light,saas,light,docs/refero/styles/autosend-3d6eda0c/DESIGN.md,https://styles.refero.design/style/3d6eda0c-16ab-4e7e-aca6-5f9a5432bfd1
Resend,dark,devtools,dark,docs/refero/styles/resend-0d914ef0/DESIGN.md,https://styles.refero.design/style/0d914ef0-fa84-4c60-a9aa-cef0b5eb6e5d
Sociotype,light,design,light,docs/refero/styles/sociotype-973332dc/DESIGN.md,https://styles.refero.design/style/973332dc-4e10-4e90-85d8-3bce9c3cd3ed
Apple,light,ecommerce,light,docs/refero/styles/apple-a4f123f2/DESIGN.md,https://styles.refero.design/style/a4f123f2-cd4b-4d26-998f-a3d3ee158024
Mike Matas,light,agency,light,docs/refero/styles/mike-matas-04f6cb02/DESIGN.md,https://styles.refero.design/style/04f6cb02-de90-4d78-9c5f-0eb52f826484
Slack,light,productivity,light,docs/refero/styles/slack-e26cb9b0/DESIGN.md,https://styles.refero.design/style/e26cb9b0-f876-41ff-9f24-fd67a6b9776c
Superintelligence for work,light,ai,light,docs/refero/styles/superintelligence-for-work-1db2adc9/DESIGN.md,https://styles.refero.design/style/1db2adc9-2f10-4f20-af1b-27fa4b25f729
monopo london,dark,design,dark,docs/refero/styles/monopo-london-56025d9b/DESIGN.md,https://styles.refero.design/style/56025d9b-3793-4303-b437-440440045d4c
Steep,light,ai,light,docs/refero/styles/steep-75fdb89f/DESIGN.md,https://styles.refero.design/style/75fdb89f-ca64-41b3-af36-7a78bd09448e
Slite,light,productivity,light,docs/refero/styles/slite-607c2098/DESIGN.md,https://styles.refero.design/style/607c2098-bbbb-40bb-b23e-adf2b72c63dd
Vercel,light,devtools,light,docs/refero/styles/vercel-f24daf3a/DESIGN.md,https://styles.refero.design/style/f24daf3a-d43f-4dec-85a9-8ac1d5148a03
Ferrari,mixed,other,both,docs/refero/styles/ferrari-80164adf/DESIGN.md,https://styles.refero.design/style/80164adf-a898-4f7c-bce7-12f3f62e1649
Claude,light,ai,light,docs/refero/styles/claude-47cb86b6/DESIGN.md,https://styles.refero.design/style/47cb86b6-cb2d-41c8-94ba-8607cd7c41cd
Amplemarket,light,ai,light,docs/refero/styles/amplemarket-db451eca/DESIGN.md,https://styles.refero.design/style/db451eca-8de6-43a9-a5d5-35271befdffd
Leonardo.ai,dark,ai,dark,docs/refero/styles/leonardo-ai-8c3f2805/DESIGN.md,https://styles.refero.design/style/8c3f2805-dfce-4edd-8a9c-946bee4f1cff
Lift-off challenge,light,other,light,docs/refero/styles/lift-off-challenge-cf1f4666/DESIGN.md,https://styles.refero.design/style/cf1f4666-bb5b-4fc4-a3e6-660218996cbb
teenage engineering,light,other,light,docs/refero/styles/teenage-engineering-aecf9dda/DESIGN.md,https://styles.refero.design/style/aecf9dda-5cba-4dc7-9e73-59b65d895cdf
Bang & Olufsen,mixed,ecommerce,both,docs/refero/styles/bang-and-olufsen-27a4a4fa/DESIGN.md,https://styles.refero.design/style/27a4a4fa-4b1a-4e7e-b2c3-3e5bf57f00e5
Sequel,dark,fintech,dark,docs/refero/styles/sequel-1bd3b2ba/DESIGN.md,https://styles.refero.design/style/1bd3b2ba-9ad9-44ed-9130-03f9d94de821
Interaction,light,design,light,docs/refero/styles/interaction-5fae307a/DESIGN.md,https://styles.refero.design/style/5fae307a-90ef-4181-9525-3ac308896ffc
Fictional,light,design,light,docs/refero/styles/fictional-af2e0bc4/DESIGN.md,https://styles.refero.design/style/af2e0bc4-ef1c-4365-a25d-00b691218431
Ramp,dark,fintech,dark,docs/refero/styles/ramp-b38702a0/DESIGN.md,https://styles.refero.design/style/b38702a0-75ab-474c-9106-00b624535825
Framer,dark,design,dark,docs/refero/styles/framer-d417b42f/DESIGN.md,https://styles.refero.design/style/d417b42f-824d-45ba-a02e-cbef3b8ea0d8
Notion,dark,saas,dark,docs/refero/styles/notion-2bf4c61f/DESIGN.md,https://styles.refero.design/style/2bf4c61f-de10-4614-ba1b-20c0453bd2a9
mono,light,design,light,docs/refero/styles/mono-859f6be7/DESIGN.md,https://styles.refero.design/style/859f6be7-9d2d-4da6-a9b7-baa658172696
Rox,light,fintech,light,docs/refero/styles/rox-66eb1c37/DESIGN.md,https://styles.refero.design/style/66eb1c37-a8e5-4e6c-b17f-a75385b462e7
Revolut,light,fintech,light,docs/refero/styles/revolut-a3161c3c/DESIGN.md,https://styles.refero.design/style/a3161c3c-26d4-425b-aaa3-4fc3f06b77ee
Ciridae,dark,ai,dark,docs/refero/styles/ciridae-a1b78a21/DESIGN.md,https://styles.refero.design/style/a1b78a21-a304-482b-8ce5-f612d95d44fe
Dialog,light,ecommerce,light,docs/refero/styles/dialog-c8c22958/DESIGN.md,https://styles.refero.design/style/c8c22958-ec50-47f1-aedc-a131d7aeb442
xAI,dark,ai,dark,docs/refero/styles/xai-3b83dfe4/DESIGN.md,https://styles.refero.design/style/3b83dfe4-2f53-4a4d-819d-e6045ca5f7dc
GitHub,dark,devtools,dark,docs/refero/styles/github-c3ceca5c/DESIGN.md,https://styles.refero.design/style/c3ceca5c-d329-4559-b947-016172941ba2
Intercom,light,ai,light,docs/refero/styles/intercom-12255b63/DESIGN.md,https://styles.refero.design/style/12255b63-e506-4bc1-a4cd-d05487de32f3
New Genre,light,design,light,docs/refero/styles/new-genre-2318d650/DESIGN.md,https://styles.refero.design/style/2318d650-b229-4be0-9adc-9f17cecfd253
Airtable,light,productivity,light,docs/refero/styles/airtable-f4ef80f4/DESIGN.md,https://styles.refero.design/style/f4ef80f4-f6e5-4aea-8045-f99efaf208b8
Clay,light,saas,light,docs/refero/styles/clay-b5ca4e9a/DESIGN.md,https://styles.refero.design/style/b5ca4e9a-2322-4796-b4c5-3b3bf194821f
LottieFiles,light,design,light,docs/refero/styles/lottiefiles-a80507cb/DESIGN.md,https://styles.refero.design/style/a80507cb-afda-46dd-a2b9-ba91f3a78e78
Visitors,light,saas,light,docs/refero/styles/visitors-e7876363/DESIGN.md,https://styles.refero.design/style/e7876363-181a-44a9-9e5c-2255cf98aea5
Eco,mixed,fintech,both,docs/refero/styles/eco-9cc537fc/DESIGN.md,https://styles.refero.design/style/9cc537fc-97d8-4632-8703-f9aa296c2206
Playful,light,productivity,light,docs/refero/styles/playful-f93ac72e/DESIGN.md,https://styles.refero.design/style/f93ac72e-73b2-4b2c-80eb-351ddfa56f4d
Grand Matter,light,agency,light,docs/refero/styles/grand-matter-703d69b7/DESIGN.md,https://styles.refero.design/style/703d69b7-2863-44fa-a443-2ac090db3873
BMW.com,light,other,light,docs/refero/styles/bmw-com-b8899cbd/DESIGN.md,https://styles.refero.design/style/b8899cbd-e2ca-4069-83cf-d8f8b0d71100
Sana Agents,light,ai,light,docs/refero/styles/sana-agents-5bfbe8b0/DESIGN.md,https://styles.refero.design/style/5bfbe8b0-de0e-470f-b130-929f50437160
Officevibe,light,saas,light,docs/refero/styles/officevibe-ced1c98f/DESIGN.md,https://styles.refero.design/style/ced1c98f-d489-48f7-a01f-1fa59a07b706
ChatGPT,light,ai,light,docs/refero/styles/chatgpt-52a007ed/DESIGN.md,https://styles.refero.design/style/52a007ed-ad1b-46a6-bd44-b76f91df6d0c
Humble,light,ai,light,docs/refero/styles/humble-a6950b49/DESIGN.md,https://styles.refero.design/style/a6950b49-8ce4-4330-9499-26ca08061599
Legend,light,crypto,light,docs/refero/styles/legend-63bd1ed9/DESIGN.md,https://styles.refero.design/style/63bd1ed9-b161-45fd-8734-85282bd945ec
Legora,light,ai,light,docs/refero/styles/legora-f89bad29/DESIGN.md,https://styles.refero.design/style/f89bad29-019a-48d7-9724-c40a0d7d8171
Ed Hinrichsen,light,other,light,docs/refero/styles/ed-hinrichsen-d266fee3/DESIGN.md,https://styles.refero.design/style/d266fee3-7479-4725-b727-e343ccefb576
mymind,light,productivity,light,docs/refero/styles/mymind-5bfe6c1d/DESIGN.md,https://styles.refero.design/style/5bfe6c1d-1b15-4f8d-b0c9-677a33291c5d
Krea,dark,ai,dark,docs/refero/styles/krea-50833119/DESIGN.md,https://styles.refero.design/style/50833119-cb36-4b75-b0cc-be48afea050a
Things,light,productivity,light,docs/refero/styles/things-ec0f5bca/DESIGN.md,https://styles.refero.design/style/ec0f5bca-8367-49e7-b8aa-73b3fa09a4a0
Moving Parts,light,devtools,light,docs/refero/styles/moving-parts-fb459c9d/DESIGN.md,https://styles.refero.design/style/fb459c9d-c089-4d0b-b5b0-d147b1c4ebd7
Delphi,light,ai,light,docs/refero/styles/delphi-43c1b150/DESIGN.md,https://styles.refero.design/style/43c1b150-0dab-42f9-9bce-fe0be3dde26c
Adaline,light,ai,light,docs/refero/styles/adaline-312423bf/DESIGN.md,https://styles.refero.design/style/312423bf-72ea-42fb-b8f5-ab0104e778f3
Headspace,light,other,light,docs/refero/styles/headspace-035a098b/DESIGN.md,https://styles.refero.design/style/035a098b-5a27-48a3-8a3a-c68a698e3eab
Retool,dark,devtools,dark,docs/refero/styles/retool-c45b115b/DESIGN.md,https://styles.refero.design/style/c45b115b-dcb5-446d-8952-85aef740f8e4
True Staging,dark,other,dark,docs/refero/styles/true-staging-c26c462d/DESIGN.md,https://styles.refero.design/style/c26c462d-f219-4814-96da-c05e86f759b7
Monologue,dark,productivity,dark,docs/refero/styles/monologue-8401cb26/DESIGN.md,https://styles.refero.design/style/8401cb26-91a3-4b46-941e-1c75790821eb
Paste,light,productivity,light,docs/refero/styles/paste-742b500d/DESIGN.md,https://styles.refero.design/style/742b500d-3e10-4daa-bb89-d0d26272e5f6
Glideapps,light,saas,light,docs/refero/styles/glideapps-a80cb179/DESIGN.md,https://styles.refero.design/style/a80cb179-2d90-4896-b52d-4e674b421498
Koichi Takada Architects,light,design,light,docs/refero/styles/koichi-takada-architects-9e6d5a24/DESIGN.md,https://styles.refero.design/style/9e6d5a24-a9e6-4026-a037-5ec87afe4147
David Heckhoff,light,design,light,docs/refero/styles/david-heckhoff-15f0809b/DESIGN.md,https://styles.refero.design/style/15f0809b-b7e0-4824-844f-286c39f4accf
Fresha,light,productivity,light,docs/refero/styles/fresha-066625ba/DESIGN.md,https://styles.refero.design/style/066625ba-0d8d-472e-8240-4026ed7bb94e
Bun,dark,devtools,dark,docs/refero/styles/bun-408a149c/DESIGN.md,https://styles.refero.design/style/408a149c-702f-4442-99df-bea49d9c0d9b
Attio,light,saas,light,docs/refero/styles/attio-08c8700c/DESIGN.md,https://styles.refero.design/style/08c8700c-f278-42bc-812e-f60dc6ce996e
Playdate,mixed,other,both,docs/refero/styles/playdate-2175034b/DESIGN.md,https://styles.refero.design/style/2175034b-96d7-417e-886f-ff5a4d8551ae
Travelperk,light,saas,light,docs/refero/styles/travelperk-75c06591/DESIGN.md,https://styles.refero.design/style/75c06591-34d2-493a-bd49-70551b5e4a53
HLE,dark,media,dark,docs/refero/styles/hle-5abe1239/DESIGN.md,https://styles.refero.design/style/5abe1239-79b9-4ebc-b4d1-9b2a85dc29a4
Jonas Mosesson,light,design,light,docs/refero/styles/jonas-mosesson-f70e6b90/DESIGN.md,https://styles.refero.design/style/f70e6b90-323d-4aa7-9c04-b333140960d7
Slash,dark,fintech,dark,docs/refero/styles/slash-7c38e84b/DESIGN.md,https://styles.refero.design/style/7c38e84b-aea0-4c8f-b3e9-60b994ee6c6b
099,dark,agency,dark,docs/refero/styles/099-e4a7b5f3/DESIGN.md,https://styles.refero.design/style/e4a7b5f3-f393-4f6d-b4a5-ecf874024bed
Scale,dark,ai,dark,docs/refero/styles/scale-e81d4724/DESIGN.md,https://styles.refero.design/style/e81d4724-9615-4159-8678-cef35f986cab
Render,light,devtools,light,docs/refero/styles/render-c14bfde7/DESIGN.md,https://styles.refero.design/style/c14bfde7-6f08-4b54-bd9b-39989d10cfef
Porsche,mixed,other,both,docs/refero/styles/porsche-98676f9d/DESIGN.md,https://styles.refero.design/style/98676f9d-5c41-413b-afdc-4a87deb154d6
Midday,light,fintech,light,docs/refero/styles/midday-3f2b79c1/DESIGN.md,https://styles.refero.design/style/3f2b79c1-d980-4380-a903-29856975fc37
Chronicle,light,saas,light,docs/refero/styles/chronicle-1c60b014/DESIGN.md,https://styles.refero.design/style/1c60b014-473b-443b-b0f5-220612feebb7
Apple,dark,ecommerce,dark,docs/refero/styles/apple-764b6a64/DESIGN.md,https://styles.refero.design/style/764b6a64-c233-4e0f-b8e1-bc01e2f8aa16
Startupblowup,light,other,light,docs/refero/styles/startupblowup-80ad4cc4/DESIGN.md,https://styles.refero.design/style/80ad4cc4-de09-49b7-b831-0f098ece6b16
Superlative,dark,design,dark,docs/refero/styles/superlative-10ab6120/DESIGN.md,https://styles.refero.design/style/10ab6120-3d03-48ff-aebe-0b4910edc046
Palette Supply,light,design,light,docs/refero/styles/palette-supply-542453bb/DESIGN.md,https://styles.refero.design/style/542453bb-1895-45fe-95c9-66dbacbf1b08
Leonid Kostetskyi,light,design,light,docs/refero/styles/leonid-kostetskyi-5a7ba5ff/DESIGN.md,https://styles.refero.design/style/5a7ba5ff-0476-4f3f-99f9-0b920534dde5
Together AI,mixed,ai,both,docs/refero/styles/together-ai-461da0f0/DESIGN.md,https://styles.refero.design/style/461da0f0-fde6-46bc-8137-7eca006260a8
Neon,dark,devtools,dark,docs/refero/styles/neon-cc38369a/DESIGN.md,https://styles.refero.design/style/cc38369a-41e3-4bcd-b619-230ccffe7e8e
Hims App,light,other,light,docs/refero/styles/hims-app-0a489bce/DESIGN.md,https://styles.refero.design/style/0a489bce-4f93-4b38-b612-d87b1d00999e
José Meza,dark,design,dark,docs/refero/styles/jose-meza-8321c2d1/DESIGN.md,https://styles.refero.design/style/8321c2d1-686f-4752-9156-ea613a879b9e
Panxo,light,other,light,docs/refero/styles/panxo-8b5cfe6d/DESIGN.md,https://styles.refero.design/style/8b5cfe6d-a2bd-4edb-854e-9185cec46c09
Agence Foudre,light,agency,light,docs/refero/styles/agence-foudre-c1534c74/DESIGN.md,https://styles.refero.design/style/c1534c74-f7b8-44de-a913-586d0f78fb08
Wise,light,fintech,light,docs/refero/styles/wise-367c0c6e/DESIGN.md,https://styles.refero.design/style/367c0c6e-73a7-441c-a8ff-91d139ac60dc
kaisermann,dark,other,dark,docs/refero/styles/kaisermann-872ce8b7/DESIGN.md,https://styles.refero.design/style/872ce8b7-993d-4dea-a361-9ccb59d136c0
Aboard,dark,ai,dark,docs/refero/styles/aboard-7b083729/DESIGN.md,https://styles.refero.design/style/7b083729-e694-4b66-82a3-befb08451722
Svelte,light,devtools,light,docs/refero/styles/svelte-303ca7ea/DESIGN.md,https://styles.refero.design/style/303ca7ea-e6fa-4e95-8acb-8008c4d3c068
Superwhisper,dark,ai,dark,docs/refero/styles/superwhisper-b8a8976c/DESIGN.md,https://styles.refero.design/style/b8a8976c-52d9-4ebb-95ea-4c40f4a9acab
Cycle,light,other,light,docs/refero/styles/cycle-3677bc04/DESIGN.md,https://styles.refero.design/style/3677bc04-7461-4aa4-aec7-5291bac41b0b
14islands,light,agency,light,docs/refero/styles/14islands-139c4bee/DESIGN.md,https://styles.refero.design/style/139c4bee-396d-494c-baf0-fe211bf4928d
Public,light,fintech,light,docs/refero/styles/public-9d16aa65/DESIGN.md,https://styles.refero.design/style/9d16aa65-cef7-4bf7-83c8-91837a248cd9
Peak Design,light,ecommerce,light,docs/refero/styles/peak-design-6f3fb64d/DESIGN.md,https://styles.refero.design/style/6f3fb64d-d4c9-4ec1-86a1-7983e5180985
Prose,light,ecommerce,light,docs/refero/styles/prose-39f06f54/DESIGN.md,https://styles.refero.design/style/39f06f54-eb62-4cd5-bbf6-0f1927016ca4
GEMINI,dark,design,dark,docs/refero/styles/gemini-a316193c/DESIGN.md,https://styles.refero.design/style/a316193c-6a5f-4a43-96ee-003afdf862ad
Inngest,dark,devtools,dark,docs/refero/styles/inngest-62e8e59e/DESIGN.md,https://styles.refero.design/style/62e8e59e-17a5-4eba-a6c6-1c7f67ded518
Shop,light,ecommerce,light,docs/refero/styles/shop-4fa67bd1/DESIGN.md,https://styles.refero.design/style/4fa67bd1-f01d-454a-b522-4a0359ff9815
Dovetail,dark,ai,dark,docs/refero/styles/dovetail-108e2695/DESIGN.md,https://styles.refero.design/style/108e2695-6970-47d5-b5b0-eea8fc34e048
Christopherdoyle,light,design,light,docs/refero/styles/christopherdoyle-e1223d32/DESIGN.md,https://styles.refero.design/style/e1223d32-c423-4c95-ae0a-8a6f8585e6a2
Mario Carrillo,light,design,light,docs/refero/styles/mario-carrillo-c181d124/DESIGN.md,https://styles.refero.design/style/c181d124-242e-469b-a91a-4e44aad49a86
Supabase,dark,devtools,dark,docs/refero/styles/supabase-632249f1/DESIGN.md,https://styles.refero.design/style/632249f1-fd78-4c77-9b34-7bae37ff3e9b
Zendesk,light,saas,light,docs/refero/styles/zendesk-b859ee70/DESIGN.md,https://styles.refero.design/style/b859ee70-863e-44c6-ab5c-f8cdb404c570
Cal.com,light,productivity,light,docs/refero/styles/cal-com-5d7aa503/DESIGN.md,https://styles.refero.design/style/5d7aa503-8cfa-49a4-bd3b-0c2f0f075c70
T1 Energy,light,other,light,docs/refero/styles/t1-energy-e79b761d/DESIGN.md,https://styles.refero.design/style/e79b761d-f476-4c5d-8943-e31a58664e4d
Dub,light,saas,light,docs/refero/styles/dub-b0d80806/DESIGN.md,https://styles.refero.design/style/b0d80806-b724-4ed1-a1d1-074edd3c9bc9
Visual,light,ai,light,docs/refero/styles/visual-d2c0ed7b/DESIGN.md,https://styles.refero.design/style/d2c0ed7b-c649-4d77-91de-1bd69dd10a9e
Quizlet,light,other,light,docs/refero/styles/quizlet-528eb1d4/DESIGN.md,https://styles.refero.design/style/528eb1d4-8508-4dc6-87b4-c7b92d648dac
Lamborghini.com,mixed,other,both,docs/refero/styles/lamborghini-com-c9c5be5a/DESIGN.md,https://styles.refero.design/style/c9c5be5a-aaa1-4338-9681-8378d2e24fbd
Coda,light,fintech,light,docs/refero/styles/coda-e0ad1a25/DESIGN.md,https://styles.refero.design/style/e0ad1a25-5609-45e6-a355-9bdeec86c5ae
Maxima Therapy,light,other,light,docs/refero/styles/maxima-therapy-a122b132/DESIGN.md,https://styles.refero.design/style/a122b132-2259-41ca-a301-4468dd17a386
Unseen Studio®,light,agency,light,docs/refero/styles/unseen-studio-25009c35/DESIGN.md,https://styles.refero.design/style/25009c35-8b3b-4898-9295-3e0e0aa07207
Aino,light,agency,light,docs/refero/styles/aino-2ef27b47/DESIGN.md,https://styles.refero.design/style/2ef27b47-36b6-46a3-b325-512bccc76abc
MasterClass,dark,media,dark,docs/refero/styles/masterclass-4367b4cd/DESIGN.md,https://styles.refero.design/style/4367b4cd-b002-4719-a418-cbce020f0d33
Gumroad,light,ecommerce,light,docs/refero/styles/gumroad-d67e1407/DESIGN.md,https://styles.refero.design/style/d67e1407-6d16-47e8-89cf-22f5c5f2dd88
Away,light,ecommerce,light,docs/refero/styles/away-3ddaa1f6/DESIGN.md,https://styles.refero.design/style/3ddaa1f6-bebc-44e3-a6df-b653179f3fd9
Structured,light,fintech,light,docs/refero/styles/structured-6c0b77d3/DESIGN.md,https://styles.refero.design/style/6c0b77d3-71f9-469d-98aa-4ce1d6d76ac8
Vanta,light,saas,light,docs/refero/styles/vanta-6b4c8ca5/DESIGN.md,https://styles.refero.design/style/6b4c8ca5-476e-442b-b713-d5fc58cf04ac
Cori Corinne,light,design,light,docs/refero/styles/cori-corinne-2c18e573/DESIGN.md,https://styles.refero.design/style/2c18e573-0ffb-4f0d-848c-ff72a5839fd3
boords.com,light,saas,light,docs/refero/styles/boords-com-c955d25a/DESIGN.md,https://styles.refero.design/style/c955d25a-b32a-441d-9f07-a260d1df897b
Pally,dark,productivity,dark,docs/refero/styles/pally-029d3ce0/DESIGN.md,https://styles.refero.design/style/029d3ce0-0fe5-4a8c-99c4-4f9d704f1c60
Raus,light,other,light,docs/refero/styles/raus-d28732de/DESIGN.md,https://styles.refero.design/style/d28732de-1b7a-4d37-b7aa-edfa7caf428b
ID—C,light,design,light,docs/refero/styles/id-c-03a78f26/DESIGN.md,https://styles.refero.design/style/03a78f26-ebd4-4d09-9012-7c69d327df9a
Sketch,light,design,light,docs/refero/styles/sketch-4caadb3c/DESIGN.md,https://styles.refero.design/style/4caadb3c-3865-4a4d-9e1a-46478ac71078
Gamma,light,ai,light,docs/refero/styles/gamma-a386d0d4/DESIGN.md,https://styles.refero.design/style/a386d0d4-01f1-4ec3-80ae-d505075d83ca
Gsap,dark,devtools,dark,docs/refero/styles/gsap-00537a20/DESIGN.md,https://styles.refero.design/style/00537a20-e99e-4ef2-b119-c6f532c44cc9
AATHER,light,ecommerce,light,docs/refero/styles/aather-3b080dc3/DESIGN.md,https://styles.refero.design/style/3b080dc3-1992-43fe-91d6-2a721f934435
Luma,light,ai,light,docs/refero/styles/luma-680b0fff/DESIGN.md,https://styles.refero.design/style/680b0fff-26d0-45c3-808b-d571ff45eb99
User Interviews,light,saas,light,docs/refero/styles/user-interviews-376baf20/DESIGN.md,https://styles.refero.design/style/376baf20-9ace-405d-bf4a-086016f2b1e3
Branding,dark,agency,dark,docs/refero/styles/branding-4d4772a3/DESIGN.md,https://styles.refero.design/style/4d4772a3-e1da-415f-a6d7-658dcefdcecd
Origin Financial,dark,fintech,dark,docs/refero/styles/origin-financial-c60f05ff/DESIGN.md,https://styles.refero.design/style/c60f05ff-2420-4a24-92db-80c4b6a74683
REGI Laboratories,light,other,light,docs/refero/styles/regi-laboratories-4cb66ac5/DESIGN.md,https://styles.refero.design/style/4cb66ac5-df12-46fc-beb2-d72a2a12a85d
Telepathic Instruments,light,other,light,docs/refero/styles/telepathic-instruments-5183054c/DESIGN.md,https://styles.refero.design/style/5183054c-4c6e-4ecf-bd90-f7d794d5eb17
